序号,合约编码,合约代码,合约简称,标的证券简称(代码),合约类型,行权价,合约单位,最后交易日,行权日,到期日,交收日,新挂,涨停价格,跌停价格,前结算价,合约调整,停牌,合约总持仓,挂牌原因,原合约代码,原合约简称,原行权价格,原合约单位,合约到期剩余交易天数,合约到期剩余自然天数,下次合约调整剩余交易天数,下次合约调整剩余自然天数,交易日期
83,90006523,159919C2606M006000A,沪深300ETF购6月5910A,沪深300ETF嘉实(159919),认购,5.91,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4164,0.0001,0.0064,否,否,4136.0,非新挂牌,159919C2606M006000A,沪深300ETF购6月5910A,5.91,10153,40,62,0,0,2026-04-24
84,90006524,159919P2606M006000A,沪深300ETF沽6月5910A,沪深300ETF嘉实(159919),认沽,5.91,10153,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.4369,0.4359,0.9364,否,否,504.0,非新挂牌,159919P2606M006000A,沪深300ETF沽6月5910A,5.91,10153,40,62,0,0,2026-04-24
85,90006525,159922C2606M003400A,中证500ETF购6月3356A,中证500ETF嘉实(159922),认购,3.356,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4295,0.0001,0.0991,否,否,1262.0,非新挂牌,159922C2606M003400A,中证500ETF购6月3356A,3.356,10132,40,62,0,0,2026-04-24
86,90006526,159922P2606M003400A,中证500ETF沽6月3356A,中证500ETF嘉实(159922),认沽,3.356,10132,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4878,0.0001,0.1548,否,否,340.0,非新挂牌,159922P2606M003400A,中证500ETF沽6月3356A,3.356,10132,40,62,0,0,2026-04-24
87,90006527,159901C2606M004100A,深证100ETF购6月4001A,深证100ETF易方达(159901),认购,4.001,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.4304,0.0001,0.0637,否,否,519.0,非新挂牌,159901C2606M004100A,深证100ETF购6月4001A,4.001,10248,40,62,0,0,2026-04-24
88,90006528,159901P2606M004100A,深证100ETF沽6月4001A,深证100ETF易方达(159901),认沽,4.001,10248,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.6338,0.0001,0.2504,否,否,287.0,非新挂牌,159901P2606M004100A,深证100ETF沽6月4001A,4.001,10248,40,62,0,0,2026-04-24
89,90006535,159915C2606M003700,创业板ETF购6月3700,创业板ETF易方达(159915),认购,3.7,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9256,0.0001,0.18,否,否,26045.0,非新挂牌,159915C2606M003700,创业板ETF购6月3700,3.7,10000,40,62,0,0,2026-04-24
90,90006536,159915P2606M003700,创业板ETF沽6月3700,创业板ETF易方达(159915),认沽,3.7,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.913,0.0001,0.1786,否,否,6692.0,非新挂牌,159915P2606M003700,创业板ETF沽6月3700,3.7,10000,40,62,0,0,2026-04-24
91,90006591,159901C2606M003000,深证100ETF购6月3000,深证100ETF易方达(159901),认购,3.0,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.2313,0.4645,0.8479,否,否,40.0,非新挂牌,159901C2606M003000,深证100ETF购6月3000,3.0,10000,40,62,0,0,2026-04-24
92,90006592,159901C2606M003100,深证100ETF购6月3100,深证100ETF易方达(159901),认购,3.1,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.1318,0.365,0.7484,否,否,12.0,非新挂牌,159901C2606M003100,深证100ETF购6月3100,3.1,10000,40,62,0,0,2026-04-24
93,90006593,159901C2606M003200,深证100ETF购6月3200,深证100ETF易方达(159901),认购,3.2,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,1.0323,0.2655,0.6489,否,否,117.0,非新挂牌,159901C2606M003200,深证100ETF购6月3200,3.2,10000,40,62,0,0,2026-04-24
94,90006594,159901C2606M003300,深证100ETF购6月3300,深证100ETF易方达(159901),认购,3.3,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.9327,0.1659,0.5493,否,否,229.0,非新挂牌,159901C2606M003300,深证100ETF购6月3300,3.3,10000,40,62,0,0,2026-04-24
95,90006595,159901C2606M003400,深证100ETF购6月3400,深证100ETF易方达(159901),认购,3.4,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.8332,0.0664,0.4498,否,否,270.0,非新挂牌,159901C2606M003400,深证100ETF购6月3400,3.4,10000,40,62,0,0,2026-04-24
96,90006596,159901C2606M003500,深证100ETF购6月3500,深证100ETF易方达(159901),认购,3.5,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.7342,0.0001,0.3508,否,否,848.0,非新挂牌,159901C2606M003500,深证100ETF购6月3500,3.5,10000,40,62,0,0,2026-04-24
97,90006597,159901C2606M003600,深证100ETF购6月3600,深证100ETF易方达(159901),认购,3.6,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.6558,0.0001,0.2724,否,否,508.0,非新挂牌,159901C2606M003600,深证100ETF购6月3600,3.6,10000,40,62,0,0,2026-04-24
98,90006598,159901C2606M003700,深证100ETF购6月3700,深证100ETF易方达(159901),认购,3.7,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5826,0.0001,0.1992,否,否,313.0,非新挂牌,159901C2606M003700,深证100ETF购6月3700,3.7,10000,40,62,0,0,2026-04-24
99,90006599,159901C2606M003800,深证100ETF购6月3800,深证100ETF易方达(159901),认购,3.8,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.5237,0.0001,0.1403,否,否,827.0,非新挂牌,159901C2606M003800,深证100ETF购6月3800,3.8,10000,40,62,0,0,2026-04-24
100,90006600,159901P2606M003000,深证100ETF沽6月3000,深证100ETF易方达(159901),认沽,3.0,10000,2026-06-24,2026-06-24,2026-06-24,2026-06-25,否,0.2226,0.0001,0.006,否,否,324.0,非新挂牌,159901P2606M003000,深证100ETF沽6月3000,3.0,10000,40,62,0,0,2026-04-24
