私募基金管理人名称,法定代表人/执行事务合伙人(委派代表)姓名,机构类型,登记编号,注册地,办公地,成立时间,登记时间,在管基金数量,会员类型,是否有提示信息,是否有诚信信息
东源（天津）股权投资基金管理股份有限公司,杨成义,私募证券投资基金管理人,P1000675,天津市,天津市,2011-06-28,2014-04-01,57,普通会员,否,否
杭州龙旗科技有限公司,朱晓康,私募证券投资基金管理人,P1000676,浙江省,浙江省,2011-10-28,2014-04-01,252,普通会员,否,否
上海弘尚资产管理中心（有限合伙）,尚健,私募证券投资基金管理人,P1000677,上海市,上海市,2013-10-29,2014-04-01,63,普通会员,否,否
深圳市裕晋私募证券投资基金管理有限公司,万桦,私募证券投资基金管理人,P1000678,广东省,深圳市,2007-08-06,2014-04-01,28,观察会员,是,否
浙商控股集团上海资产管理有限公司,李勇,私募证券投资基金管理人,P1000680,上海市,上海市,2012-02-10,2014-04-01,3,观察会员,否,否
中国银河投资管理有限公司,许诺,私募证券投资基金管理人,P1000682,北京市,北京市,2000-08-22,2014-04-01,0,观察会员,是,否
上海博观投资管理有限公司,张大刚,私募证券投资基金管理人,P1000683,上海市,上海市,2012-05-14,2014-04-01,7,观察会员,是,否
上海和熙投资管理有限公司,郑路,私募证券投资基金管理人,P1000684,上海市,上海市,2010-07-30,2014-04-01,7,非会员机构,是,是
上海游马地投资中心（有限合伙）,胡国权,私募证券投资基金管理人,P1000685,上海市,上海市,2012-12-06,2014-04-01,6,观察会员,否,否
白石资产管理（上海）有限公司,王智宏,私募证券投资基金管理人,P1000686,上海市,上海市,2011-05-09,2014-04-01,7,观察会员,否,否
深圳市兆泽利丰投资管理有限公司,陈海锋,私募证券投资基金管理人,P1000687,广东省,深圳市,2012-05-21,2014-04-01,3,观察会员,是,否
上海证研投资管理有限公司,张育新,私募证券投资基金管理人,P1000688,上海市,上海市,2004-04-27,2014-04-01,9,观察会员,是,是
深圳市森瑞私募证券投资基金有限公司,林存,私募证券投资基金管理人,P1000689,广东省,深圳市,2007-10-19,2014-04-01,16,观察会员,否,否
深圳市康成亨投资有限公司,袁亚康,私募证券投资基金管理人,P1000690,广东省,深圳市,2007-07-06,2014-04-01,4,非会员机构,否,否
上海混沌道然资产管理有限公司,王歆,私募证券投资基金管理人,P1000691,上海市,上海市,2007-04-13,2014-04-01,12,普通会员,否,否
上海星浩私募基金管理有限公司,唐学明,私募股权、创业投资基金管理人,P1000692,上海市,上海市,2010-10-28,2014-04-01,1,非会员机构,否,否
星浩（芜湖）股权投资基金管理有限公司,唐学明,私募股权、创业投资基金管理人,P1000693,安徽省,上海市,2012-02-14,2014-04-01,1,非会员机构,是,否
