统计时间,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中:中央政府,对其他存款性公司债权,对其他金融性公司债权,对非货币金融机构债权,对非金融性公司债权,其他资产,总资产,储备货币,发行货币,金融性公司存款,其他存款性公司,其他金融性公司,对金融机构负债,准备金存款,非金融性公司存款,活期存款,债券,国外负债,政府存款,自有资金,其他负债,总负债
2021.11,223639.0,212609.4,2855.63,8173.97,15240.68,15240.68,129928.43,4128.46,,,20177.69,393114.26,317810.22,92595.84,,205698.6,,,,,,950.0,1415.67,52963.28,219.75,14934.21,393114.26
2021.10,223262.38,212255.05,2855.63,8151.7,15240.68,15240.68,133073.72,4151.97,,,19190.6,394919.35,314962.54,91301.57,,203832.77,,,,,,950.0,1156.13,57236.26,219.75,15604.6,394919.35
2021.9,223230.38,212145.89,2855.63,8228.87,15250.24,15250.24,132450.49,4148.68,,,16893.85,391973.65,324341.24,92426.82,,212046.96,,,,,,950.0,1357.8,46143.39,219.75,13768.72,391973.65
2021.8,223256.93,212123.55,2855.63,8277.75,15250.24,15250.24,120568.13,4341.99,,,16070.19,379487.47,307438.1,90108.63,,198187.0,,,,,,950.0,1083.46,51111.3,219.75,13390.77,379487.47
2021.7,220409.56,212143.63,2855.63,5410.31,15250.24,15250.24,121611.82,4342.61,,0.0,18887.38,380501.62,310607.12,89677.16,,202120.98,,,,,,900.0,964.63,50061.74,219.75,12341.91,380501.62
2021.6,220505.68,212130.2,2855.63,5519.85,15250.24,15250.24,130900.47,4354.48,,,18886.49,389897.36,324494.14,89614.1,,216320.68,,,,,,900.0,942.49,45666.43,219.75,11955.47,389897.36
2021.5,219265.24,211939.84,2855.63,4469.77,15250.24,15250.24,129186.71,4351.67,,0.0,18862.92,386916.77,320697.25,89384.75,,213457.96,,,,,,950.0,1028.39,47239.93,219.75,12292.69,386916.77
2021.4,219122.64,211727.11,2855.63,4539.9,15250.24,15250.24,124490.83,4409.74,,0.0,19042.01,382315.47,318677.99,91050.15,,209032.05,,,,,,900.0,1119.94,43754.83,219.75,12487.31,382315.47
2021.3,219213.98,211553.27,2855.63,4805.08,15250.24,15250.24,124657.22,4427.26,,,19224.06,382772.77,326956.16,92459.49,,216682.77,,,,,,900.0,1038.8,36719.33,219.75,11990.98,382772.77
2021.2,219328.8,211634.89,2855.63,4838.29,15250.24,15250.24,124384.38,4450.66,,0.0,19679.08,383093.17,321556.29,99828.72,,202351.6,,,,,,1000.0,1055.81,42405.69,219.75,11948.5,383093.17
2021.1,218073.61,211400.06,2855.63,3817.92,15250.25,15250.25,132072.17,4431.82,,,19303.62,389131.46,316822.07,95834.6,,203006.66,,,,,,900.0,1059.65,53529.47,219.75,11957.07,389131.46
2020.12,218039.98,211308.1,2855.63,3876.25,15250.24,15250.24,133355.47,4447.14,,,16582.7,387675.54,330428.14,89823.29,,222906.08,,,,,,900.0,929.67,38681.53,219.75,11634.63,387675.54
2020.11,218209.41,211636.8,2855.63,3716.98,15250.24,15250.24,130987.49,4754.34,,,12787.85,381989.33,314518.55,86885.46,,210364.03,,,,,,900.0,1010.06,47771.7,219.75,12463.19,381989.33
2020.10,218185.21,211577.49,2855.63,3752.09,15250.24,15250.24,120745.14,4740.42,,,12891.7,371812.72,302380.38,86357.71,,198214.43,,,,,,950.0,981.22,49894.37,219.75,12111.49,371812.72
2020.9,218213.05,211625.4,2855.63,3732.02,15250.24,15250.24,123619.62,4741.61,,,12903.17,374727.69,315643.28,88063.47,,209650.34,,,,,,950.0,1080.69,39774.34,219.75,11767.0,374727.69
2020.8,218361.92,211684.91,2855.63,3821.39,15250.24,15250.24,113772.74,4766.34,,,12901.04,365052.29,298170.0,85434.74,,196502.18,,,,,,950.0,1137.83,47793.13,219.75,11750.36,365052.29
2020.7,218374.92,211723.16,2855.63,3796.14,15250.24,15250.24,106614.95,4762.43,,,12922.35,357924.9,297172.87,85166.78,,196061.37,,,,,,950.0,1079.54,42557.88,219.75,11068.35,357924.9
2020.6,218332.59,211742.47,2855.63,3734.49,15250.24,15250.24,111618.6,4747.46,,,13982.4,363931.3,308338.55,85413.1,,207202.69,,,,,,950.0,1198.45,38252.64,219.75,10222.08,363931.3
2020.5,218333.25,211802.63,2855.63,3675.0,15250.24,15250.24,115525.4,4746.85,,,14015.0,367870.74,308694.78,85688.28,,207935.31,,,,,,975.0,1250.98,42277.88,219.75,9494.26,367870.74
2020.4,218310.7,211914.83,2855.63,3540.24,15250.24,15250.24,107996.43,4741.31,,,14048.99,360347.67,311688.24,88073.91,,208740.67,,,,,,975.0,1185.14,32316.01,219.75,8914.45,360347.67
2020.3,218315.78,212079.04,2855.63,3381.11,15250.24,15250.24,113014.34,4734.95,,,14059.42,365374.74,317806.72,90750.94,,212680.93,,,,,,985.0,1896.22,30775.31,219.75,8675.46,365374.74
2020.2,218452.13,212249.09,2855.63,3347.41,15250.24,15250.24,108534.97,4741.95,,,14041.97,361021.26,308676.04,96497.29,,197359.23,,,,,,995.0,934.72,37167.01,219.75,8415.11,361021.26
2020.1,218649.84,212374.43,2855.63,3419.78,15250.24,15250.24,120824.15,4740.84,,,14030.02,373495.1,321597.94,101156.76,,202608.32,,,,,,1020.0,1136.57,36788.28,219.75,8016.7,373495.1
2019.12,218638.72,212317.26,2855.63,3465.84,15250.24,15250.24,117748.86,4623.39,,,14869.26,371130.48,324174.95,82859.05,,226023.86,,,,,,1020.0,841.77,32415.13,219.75,7884.49,371130.48
2019.11,218658.55,212336.16,2855.63,3466.77,15250.24,15250.24,108157.72,5534.41,,,15474.43,363075.36,304007.53,79335.12,,209882.96,,,,,,1010.0,1105.79,42063.57,219.75,10019.23,363075.36
2019.10,218729.03,212347.97,2855.63,3525.43,15250.24,15250.24,104373.95,5436.91,,,15850.34,359640.48,298840.66,78989.82,,205823.5,,,,,,1000.0,1069.97,43657.73,219.75,10250.39,359640.48
2019.9,218767.53,212353.95,2855.63,3557.96,15250.24,15250.24,106774.83,5167.63,,,16006.52,361966.76,305881.99,80217.69,,212229.56,,,,,,940.0,1105.55,38526.8,219.75,10517.43,361966.76
2019.8,218800.16,212364.4,2834.64,3601.12,15250.24,15250.24,104771.98,5042.83,,,16487.69,360352.9,300320.76,78752.58,,207945.06,,,,,,790.0,1127.73,41884.61,219.75,11191.31,360352.9
2019.7,218680.56,212448.12,2813.4,3419.04,15250.24,15250.24,103111.63,5041.63,,,15868.8,357952.87,301260.44,78122.38,,210260.44,,,,,,540.0,966.72,41754.33,219.75,8768.46,357952.87
2019.6,218521.93,212455.2,2781.97,3284.76,15250.24,15250.24,101860.31,4841.63,,,23121.16,363595.27,313085.98,78236.87,,221817.24,,,,,,740.0,903.76,35682.52,219.75,8726.66,363595.27
2019.5,218421.8,212517.12,2750.95,3153.72,15250.24,15250.24,100015.87,4691.63,,,20635.18,359014.72,304115.16,78415.47,,213073.63,,,,,,415.0,1352.41,39345.27,219.75,9233.32,359014.72
2019.4,218245.39,212528.04,2705.27,3012.08,15250.24,15250.24,94096.0,4706.82,,,16293.97,348592.42,298771.05,79782.57,,206201.77,,,,,,315.0,1276.85,36060.52,219.75,7219.03,348592.42
2019.3,218109.66,212536.65,2663.61,2909.41,15250.24,15250.24,93667.54,4708.59,,26.97,16789.62,348552.63,303711.03,81310.67,,209648.14,,,,,,315.0,819.25,31407.14,219.75,7387.06,348552.63
2019.2,217980.04,212541.24,2632.43,2806.37,15250.24,15250.24,100907.79,4657.79,,27.53,17385.99,356209.39,303569.26,87532.25,,202930.71,,,,,,315.0,1173.14,38516.63,219.75,7870.29,356209.39
2019.1,217763.22,212544.54,2603.83,2614.85,15250.24,15250.24,107056.45,4646.28,,27.92,18527.7,363271.82,313236.23,95776.81,,203473.79,,,,,,200.0,2050.67,35110.81,219.75,7691.69,363271.82
2018.12,217648.06,212556.68,2569.79,2521.59,15250.25,15250.25,111517.46,4642.6,,27.84,23405.85,372492.06,330956.52,79145.5,,235511.22,,,,,,200.0,1164.51,28224.74,219.75,7710.2,372492.06
2018.11,217580.42,212597.09,2541.5,2441.82,15250.25,15250.25,104023.8,4639.71,,45.14,17530.63,359069.94,305839.03,76425.21,,216967.35,,,,,,200.0,1316.33,37646.3,219.75,10105.7,359069.94
2018.10,218009.8,213168.39,2541.5,2299.91,15250.25,15250.25,102242.86,5956.83,,49.11,16829.13,358337.97,298171.03,76487.06,,211727.06,,,,,,,2485.28,41704.54,219.75,12062.26,358337.97
