代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
123133,佩蒂转债,135.548,300673,佩蒂股份,7.2,7.198,2022-06-28,,2027-12-22,17.58,130,22.854,16.11,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123138,丝路转债,132.268,300556,丝路视觉,2.4,2.393,2022-09-08,,2028-03-02,26.53,130,34.489,18.15,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
123142,申昊转债,125.299,300853,申昊科技,5.5,5.494,2022-09-26,,2028-03-18,33.71,130,43.823,25.01,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123172,漱玉转债,139.583,301017,漱玉平民,8.0,7.96,2023-06-21,,2028-12-15,14.95,130,19.435,15.33,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123253,永贵转债,148.016,300351,永贵电器,9.8,9.799,2025-09-19,,2031-03-13,18.23,130,23.699,19.89,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127095,广泰转债,146.228,002111,威海广泰,7.0,6.927,2024-04-24,,2029-10-18,9.07,130,11.791,10.02,,0/15 | 30,如果公司股票连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127093,章鼓转债,131.089,002598,ST章鼓,2.43,2.425,2024-04-23,,2029-10-17,10.15,130,13.195,8.1,,0/15 | 30,如果公司股票任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127090,兴瑞转债,159.4,002937,兴瑞科技,4.62,4.616,2024-01-29,,2029-07-24,25.5,130,33.15,31.66,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127098,欧晶转债,128.963,001269,欧晶科技,4.7,4.693,2024-05-30,,2029-11-24,42.0,130,54.6,22.59,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
127099,盛航转债,136.3,001205,盛航股份,7.4,4.541,2024-06-12,,2029-12-06,15.48,130,20.124,14.61,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
