债券代码,债券简称,申购日期,申购代码,原股东配售码,每股获配额,计划发行量,实际发行量,中签公布日,中签号,上市日期,正股代码,正股简称,转股价格,到期时间,中签率
127109,电化转债,2025-06-16,072125,082125,0.7736,4.87,4.87,2025-06-18,"86012；
337128、137128、537128、737128、937128；
5136651、0136651、2275600；
36536682、86536682；
765967332；
0233690524",2025-07-04,002125,湘潭电化,10.1,2031-06-16,0.00153212
123257,安克转债,2025-06-16,370866,380866,2.0785,11.0482,11.0482,2025-06-18,"61923、11923；
683997、083997、283997、483997、883997、986793；
2875134、0375134、5375134、7875134；
53260625、13260625、33260625、73260625、93260625、60763593、10763593；
742903450、142903450、342903450、542903450、942903450；
0883617552、5474486400、8246678000、6532539873、3314707095、4941995597",2025-07-04,300866,安克创新,110.58,2031-06-16,0.00264758
118056,路维转债,2025-06-11,718401,726401,3.201,6.15,6.15,2025-06-13,"19775；
267842、467842、667842、867842、067842、034557；
2811477、4811477、6811477、8811477、0811477；
62391438、74891438、87391438、99891438、49891438、37391438、24891438、12391438、02676608；
292814780、492814780、692814780、892814780、092814780、490401316、990401316；
7666050341、3910958638、6935610682、2368404583",2025-07-10,688401,路维光电,32.7,2031-06-11,0.00165975
123256,恒帅转债,2025-05-29,370969,380969,2.9249,3.2759,3.2759,2025-06-03,"903274、403274、234938；
3523752、1023752、2273752、4773752、6023752、7273752、8523752、9773752；
83542478、33542478；
024739582、224739582、424739582、624739582、824739582；
3613609479、2934269258",2025-06-17,300969,恒帅股份,62.55,2031-05-29,0.00038253
118055,伟测转债,2025-04-09,718372,726372,10.322,11.75,11.75,2025-04-11,"40063、65063、90063、15063；
367175、567175、767175、967175、167175、769497、269497；
4526030；
44574002、64574002、84574002、24574002、04574002、92848159；
430509584、680509584、930509584、180509584；
2283944814、3727585942、7394395535、0410304644、0725769948、7187739524",2025-04-30,688372,伟测科技,62.65,2031-04-09,0.00471648
113694,清源转债,2025-04-08,754628,753628,1.827,5.0,5.0,2025-04-10,"60538、10538；
6872858、8122858、9372858、5622858、4372858、3122858、1872858、0622858；
61875705、81875705、41875705、21875705、01875705、37711700、87711700；
262714084、387714084、512714084、637714084、762714084、887714084、137714084、012714084；
2452161110、4804584956、6948424847、7264721154、4333808500",2025-04-25,603628,清源股份,12.86,2031-04-08,0.00208787
118054,安集转债,2025-04-07,718019,726019,6.433,8.305,8.305,2025-04-09,"15865、65865、62529；
793467、918467、668467、543467、418467、293467、168467、043467、517532；
2312334、3562334、4812334、6062334、7312334、8562334、9812334、1062334；
677072406、927072406、427072406、177072406；
3228440216、1397519821、3190613400、5307141564",2025-04-25,688019,安集科技,128.7,2031-04-07,0.00398045
123255,鼎龙转债,2025-04-02,370054,380054,0.9698,9.1,9.1,2025-04-07,"35012、85012、25454；
043369、543369；
9588148、1588148、3588148、5588148、7588148、0240924、5240924；
92979316、12979316、32979316、52979316、72979316；
977283910、227283910、477283910、727283910；
2526621743、6737037038、7590205451、1837820809、4929021995、3798204069、0040612827",2025-04-23,300054,鼎龙股份,28.48,2031-04-02,0.00327548
127108,太能转债,2025-03-28,070591,080591,0.7529,29.5,29.5,2025-04-01,"2889；
37954、87954、12389；
495605、095605、295605、695605、895605；
03584121、16084121、28584121、41084121、53584121、66084121、78584121、91084121；
539150642、039150642、289150642、789150642",2025-04-16,000591,太阳能,5.55,2031-03-28,0.01350841
123254,亿纬转债,2025-03-24,370014,380014,2.4523,50.0,50.0,2025-03-26,"7957、2957、1607；
48964、08964、28964、68964、88964、30975、05975、55975、80975；
683039、083039、283039、483039、883039、757028；
6057242、1057242、2307242、3557242、4807242、7307242、8557242、9807242；
19436215、39436215、59436215、79436215、99436215、04799972；
697353382、072353382、197353382、322353382、447353382、572353382、822353382、947353382；
0644731346、4698895156、1573388227",2025-04-11,300014,亿纬锂能,50.28,2031-03-24,0.03968686
113693,志邦转债,2025-03-18,754801,753801,1.534,6.7,6.7,2025-03-20,"87619；
707607、907607、507607、307607、107607、752424、252424；
5329412；
78258700；
404123425、654123425、904123425、154123425；
7452128387、6255369141、0099473342、8118405819、4421741472、3205229679",2025-04-08,603801,志邦家居,11.52,2031-03-18,0.00171145
118053,正帆转债,2025-03-18,718596,726596,3.564,10.41095,10.41095,2025-03-20,"09399、59399、00496；
922370、797370、672370、547370、422370、297370、172370、047370、873289；
9734829、4734829；
99361180、79361180、59361180、39361180、19361180、76716474、26716474；
919161992、719161992、519161992、319161992、119161992、998222818；
5768724531、7716454335、3488239643、2743042940、4839339990",2025-04-03,688596,正帆科技,38.45,2031-03-18,0.00392766
118052,浩瀚转债,2025-03-13,718292,726292,2.262,3.5429,3.5429,2025-03-17,"82943；
544923、044923；
7974053、9974053、5974053、3974053、1974053；
17779953、37779953、57779953、77779953、97779953、98452954、48452954；
455771361、955771361；
0921792545",2025-04-07,688292,浩瀚深度,24.26,2031-03-13,0.00125720
123253,永贵转债,2025-03-13,370351,380351,2.5265,9.8,9.8,2025-03-17,"70809、20809、56905；
301734；
5595119、1595119、3595119、7595119、9595119、2240078、4740078、7240078、9740078；
29919370、09919370、49919370、69919370、89919370、10524716、60524716；
196222929、696222929、214586821；
4107429273",2025-03-28,300351,永贵电器,18.23,2031-03-13,0.00319731
113070,渝水转债,2025-01-09,783158,764158,0.395,19.0,19.0,2025-01-13,"8096；
28712、78712、75596；
281313、481313、681313、881313、081313；
6728513、8728513、4728513、2728513、0728513、4225721、9225721；
57186608、07186608；
544885493、044885493、322782327；
4370165966、3122513291",2025-02-13,601158,重庆水务,4.82,2031-01-09,0.01357232
123252,银邦转债,2025-01-07,370337,380337,0.955,7.85,7.85,2025-01-09,"21076、01076、41076、61076、81076；
881188；
0908105、2908105、4908105、6908105、8908105；
60597073；
202312586、002312586、402312586、602312586、802312586、131412219；
7161202412、2857872863",2025-01-24,300337,银邦股份,12.51,2031-01-07,0.00515163
110098,南药转债,2024-12-25,733713,704713,0.825,10.81491,10.81491,2024-12-27,"45334、70334、95334、20334；
409298、534298、659298、784298、909298、284298、159298、034298、090173；
3412196、5912196、8412196、0912196；
772059689、522059689、272059689、022059689；
5785398717、6862215782、5890286550",2025-01-20,600713,南京医药,5.12,2030-12-25,0.00494045
123251,华医转债,2024-12-23,371235,381235,7.1183,7.5,7.5,2024-12-25,"84961、34961；
205985、005985、405985、605985、805985、357660、857660；
9364372；
79855308、04855308、29855308、54855308；
228301030",2025-01-09,301235,华康洁净,22.43,2030-12-23,0.00271410
118051,皓元转债,2024-11-28,718131,726131,3.898,8.2235,8.2235,2024-12-02,"69494、19494、79839；
012163、262163、512163、762163；
71163780、83663780、96163780、58663780、46163780、33663780、21163780、08663780、47891478、10692263",2024-12-19,688131,皓元医药,40.47,2030-11-28,0.00341000
127107,领益转债,2024-11-18,072600,082600,0.3049,21.374181,21.374181,2024-11-20,"97839、17839、37839、57839、77839；
222808、022808、422808、622808、822808、873467、373467；
5378812、1378812、3378812、7378812、9378812；
31585349、81585349；
965368516、165368516、365368516、565368516、765368516、791787029、291787029；
4932029368、0176049466、6015236289、5317243112、7540983271、1826049758、3423502839、2026214850",2024-12-06,002600,领益智造,9.13,2030-11-18,0.00575278
123250,嘉益转债,2024-11-07,371004,381004,3.8311,3.979384,3.979384,2024-11-11,"99692、49692、07050；
735036、235036；
1836757、6836757；
90067215、10067215、30067215、50067215、70067215；
171552581、421552581、671552581、921552581；
6574979965、5906491810、0185182171、3439612422、4892439931、8142119148、2128169186、1668106439",2024-11-26,301004,嘉益股份,79.66,2030-11-07,0.00322550
113692,保隆转债,2024-10-31,754197,753197,6.554,13.9,13.9,2024-11-04,"06578、26578、46578、66578、86578；
741050、941050、541050、341050、141050；
4073530、5323530、6573530、7823530、9073530、2823530、1573530、0323530；
387632210、887632210；
3285568604、4741917197",2024-11-27,603197,保隆科技,39.36,2030-10-31,0.00558023
113691,和邦转债,2024-10-28,754077,753077,0.573,46.0,46.0,2024-10-30,"6689、1689；
10009、35009、60009、85009；
1083287、3083287、5083287、7083287、9083287、2338219、7338219；
89626612、39626612、32655005；
095945463",2024-11-19,603077,和邦生物,2.0,2030-10-28,0.02407311
123249,英搏转债,2024-10-24,370681,380681,3.2385,8.171597,8.171597,2024-10-28,"87344、37344、88833；
893816、143816、393816、643816；
2433594、7433594、9934979；
72788500；
864137584、114137584、239137584、364137584、489137584、614137584、739137584、989137584；
2844806049、0877495777、7512161695、6657182112、3983799669、1150669731、4916291532、5549563891",2024-11-11,300681,英搏尔,17.34,2030-10-24,0.00343187
