交易所,合约代码,合约名称,品种代码,品种名称,合约乘数,最小跳动,开仓费率,开仓费用/手,平仓费率,平仓费用/手,平今费率,平今费用/手,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,上日结算价,上日收盘价,最新价,成交量,持仓量,1手开仓费用,1手平仓费用,1手平今费用,做多1手保证金,做空1手保证金,1手市值,1Tick平仓盈亏,1Tick平仓净利,2Tick平仓净利,1Tick平仓收益率%,2Tick平仓收益率%,1Tick平今净利,2Tick平今净利,1Tick平今收益率%,2Tick平今收益率%,更新时间
CFFEX,IF2609,股指2609,IF,沪深300指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,4638.4,4641.4,4635.0,12378,67881,33.1,33.1,320.94,166860.0,166860.0,1390500.0,60.0,-6.21,53.79,-0.004,0.032,-294.04,-234.04,-0.176,-0.14,2026-04-24 15:58:58
CFFEX,IF2612,股指2612,IF,沪深300指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,4591.6,4596.2,4588.0,4535,9062,32.77,32.77,317.68,165168.0,165168.0,1376400.0,60.0,-5.54,54.46,-0.003,0.033,-290.45,-230.45,-0.176,-0.14,2026-04-24 15:58:58
CFFEX,IH2605,上证50期货2605,IH,上证50指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,2923.2,2925.8,2943.6,10101,13913,21.03,21.03,203.82,105969.6,105969.6,883080.0,60.0,17.95,77.95,0.017,0.074,-164.85,-104.85,-0.156,-0.099,2026-04-24 15:58:58
CFFEX,IH2606,上证50期货2606,IH,上证50指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,2909.6,2911.2,2929.0,33589,58743,20.92,20.92,202.81,105444.0,105444.0,878700.0,60.0,18.15,78.15,0.017,0.074,-163.74,-103.74,-0.155,-0.098,2026-04-24 15:58:58
CFFEX,IH2609,上证50期货2609,IH,上证50指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,2873.8,2876.0,2890.0,7343,30559,20.64,20.64,200.11,104040.0,104040.0,867000.0,60.0,18.71,78.71,0.018,0.076,-160.76,-100.76,-0.155,-0.097,2026-04-24 15:58:58
CFFEX,IH2612,上证50期货2612,IH,上证50指数,300,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,2862.0,2866.8,2877.0,2332,3701,20.55,20.55,199.21,103572.0,103572.0,863100.0,60.0,18.9,78.9,0.018,0.076,-159.77,-99.77,-0.154,-0.096,2026-04-24 15:58:58
CFFEX,IM2605,中证1000股指期货2605,IM,中证1000指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,8321.0,8331.8,8268.0,45578,67180,39.37,39.37,381.66,198432.0,198432.0,1653600.0,40.0,-38.73,1.27,-0.02,0.001,-381.03,-341.03,-0.192,-0.172,2026-04-24 15:58:58
CFFEX,IM2606,中证1000股指期货2606,IM,中证1000指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,8206.0,8219.2,8163.0,143941,209086,38.87,38.87,376.81,195912.0,195912.0,1632600.0,40.0,-37.73,2.27,-0.019,0.001,-375.68,-335.68,-0.192,-0.171,2026-04-24 15:58:58
CFFEX,IM2609,中证1000股指期货2609,IM,中证1000指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,7990.2,8001.2,7957.8,31375,106287,37.89,37.89,367.34,190987.2,190987.2,1591560.0,40.0,-35.78,4.22,-0.019,0.002,-365.23,-325.23,-0.191,-0.17,2026-04-24 15:58:58
CFFEX,IM2612,中证1000股指期货2612,IM,中证1000指数,200,0.2,2.4e-05,0.01,2.4e-05,0.01,0.000231,0.01,0.12,0,0.12,0,7797.6,7809.0,7761.6,14302,23016,36.96,36.96,358.29,186278.4,186278.4,1552320.0,40.0,-33.91,6.09,-0.018,0.003,-355.24,-315.24,-0.191,-0.169,2026-04-24 15:58:58
CZCE,JR605,JR605,JR,粳稻,20,1.0,1e-06,3.01,1e-06,3.01,1e-06,3.01,0.25,0,0.25,0,2662.0,2662.0,2662.0,0,0,3.05,3.05,3.05,13310.0,13310.0,53240.0,20.0,13.89,33.89,0.104,0.255,13.89,33.89,0.104,0.255,2026-04-24 15:58:58
