序号,股东名称,股东类型,期末持股只数统计-总持有,期末持股只数统计-新进,期末持股只数统计-增加,期末持股只数统计-不变,期末持股只数统计-减少,流通市值统计,持有个股
54,全国社保基金四零六组合,社保,28,3.0,12.0,6.0,7.0,16690493876.05,"603960|克来机电,603127|昭衍新药,600885|宏发股份,600563|法拉电子,601799|星宇股份,603345|安井食品,300395|菲利华,300763|锦浪科技,603039|泛微网络,603129|春风动力"
55,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,基金,28,2.0,1.0,,25.0,3417519581.03,"002456|欧菲光,000938|紫光股份,002123|梦网科技,002194|武汉凡谷,002916|深南电路,603083|剑桥科技,002796|世嘉科技,002600|领益智造,300017|网宿科技,300166|东方国信"
56,中国工商银行股份有限公司-广发中证传媒交易型开放式指数证券投资基金,基金,28,11.0,17.0,,,2058769229.31,"002131|利欧股份,600637|东方明珠,600959|江苏有线,600986|浙文互联,600037|歌华有线,300418|昆仑万维,601801|皖新传媒,000156|华数传媒,600640|国脉文化,603825|ST华扬"
57,招商银行股份有限公司-上证红利交易型开放式指数证券投资基金,基金,28,1.0,2.0,6.0,19.0,10087485494.78,"600282|南钢股份,600565|ST迪马,600188|兖矿能源,600985|淮北矿业,600376|首开股份,600350|山东高速,600548|深高速,600153|建发股份,600377|宁沪高速,600971|恒源煤电"
58,招商银行股份有限公司-睿远成长价值混合型证券投资基金,基金,27,5.0,14.0,1.0,7.0,21545763986.29,"002123|梦网科技,605108|同庆楼,600703|三安光电,002212|天融信,300450|先导智能,688157|松井股份,300253|卫宁健康,002475|立讯精密,603588|高能环境,002444|巨星科技"
59,中国工商银行股份有限公司-广发多因子灵活配置混合型证券投资基金,基金,27,22.0,3.0,,2.0,6107841289.01,"600905|三峡能源,002291|遥望科技,600546|山煤国际,603693|江苏新能,603220|中贝通信,688021|奥福科技,600570|恒生电子,000930|中粮科技,002597|金禾实业,002557|洽洽食品"
60,中国建设银行股份有限公司-宝盈新兴产业灵活配置混合型证券投资基金,基金,27,21.0,4.0,1.0,1.0,2066112211.05,"600984|建设机械,605186|健麾信息,605066|天正电气,603662|柯力传感,300421|力星股份,688355|明志科技,300752|隆利科技,300833|浩洋股份,605068|明新旭腾,601222|林洋能源"
61,全国社保基金一一八组合,社保,26,7.0,4.0,8.0,7.0,7609845046.17,"002701|奥瑞金,600456|宝钛股份,000661|长春高新,600110|诺德股份,601995|中金公司,300078|思创智联,000636|风华高科,688191|智洋创新,603303|得邦照明,300973|立高食品"
62,中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF),基金,26,10.0,10.0,1.0,5.0,7027271155.51,"600521|华海药业,600754|锦江酒店,900934|锦江B股,603707|健友股份,002158|汉钟精机,603657|春光科技,601998|中信银行,601369|陕鼓动力,605338|巴比食品,688728|格科微"
63,阿布达比投资局,QFII,26,4.0,4.0,8.0,10.0,8921620544.54,"600849|上药转换,601607|上海医药,603883|老百姓,600872|中炬高新,600887|伊利股份,600201|生物股份,605339|南侨食品,600867|通化东宝,001914|招商积余,601598|中国外运"
